"t5" "t6" "t9" "t12" "t15" "t20"
386 249 108 66 67 59
281 229 39 38 NA 18
NA 115 NA NA NA 28
122 NA 105 21 34 32
868 482 370 NA 98 72
NA 77 50 14 NA 5
241 140 NA 61 15 NA
NA 78 41 23 NA NA
149 127 30 24 NA 12
370 NA 110 38 NA 47
76 89 15 15 21 NA
NA 279 219 204 96 NA
NA NA NA 1 NA NA
NA 308 NA 37 NA 26
NA 33 35 NA 5 11
88 NA 8 8 10 9
219 NA 40 23 17 15
334 155 54 30 34 NA
132 NA NA NA NA NA
332 NA 88 64 38 72
156 NA 75 66 37 22
153 94 77 28 20 23
1547 1576 569 285 249 175
90 33 28 24 NA 14
82 NA 18 12 19 NA
25 8 12 NA 2 NA
142 47 NA 24 14 NA
1290 NA 173 93 63 58
NA 153 31 13 16 NA
92 NA 13 11 16 6
NA 182 96 61 30 36
228 52 43 33 46 NA
707 454 NA 100 NA 46
NA NA 59 NA 31 NA
148 36 NA 18 NA 5
110 NA NA 34 9 13
NA NA 59 NA 93 NA
1103 NA 388 142 134 175
148 NA NA 37 37 11
83 NA 26 12 11 5
520 210 72 19 32 14
145 NA 37 NA 13 NA
243 117 80 57 21 21
94 88 NA 14 12 19
468 NA 104 NA NA 49
115 NA 44 55 27 13
148 NA 28 NA 24 14
425 251 68 73 63 37
226 81 107 NA 25 18
NA NA 142 NA NA 26
243 128 NA NA 37 NA
NA NA 18 17 NA 4
112 50 NA 29 NA 7
352 NA 76 NA NA 29
78 30 17 10 11 5
201 132 91 63 NA NA
385 264 51 NA 35 NA
NA 279 131 75 NA 36
680 NA 142 37 43 24
NA NA 65 NA 29 42
NA NA 31 31 NA NA
NA NA 106 45 46 33
515 283 85 50 66 56
222 127 23 41 30 NA
108 NA 11 NA 5 2
NA 79 32 NA 14 NA
1298 244 245 108 131 NA
415 NA NA 39 39 20
NA NA NA 19 15 NA
926 258 149 150 148 110
NA 157 83 48 NA NA
239 NA 62 NA 18 28
259 132 NA 50 22 NA
183 59 95 NA 23 NA
251 NA NA NA NA 20
624 NA 147 NA 133 80
505 226 142 60 48 82
NA NA 125 45 32 41
42 27 28 8 NA 8
244 83 34 25 21 NA
132 64 NA 18 20 14
NA 167 NA 18 20 19
455 NA 93 80 NA 47
40 NA 20 8 5 6
NA 250 45 NA 17 45
NA 98 39 NA NA 22
NA 97 NA NA 12 10
611 NA 85 53 NA 31
118 316 NA 24 44 22
1029 NA NA 211 NA 75
674 235 NA 71 NA NA
436 318 58 39 52 25
NA 29 NA 7 NA 5
90 26 17 12 NA NA
954 436 96 83 73 57
458 NA 187 NA 25 19
301 267 100 NA 103 30
567 227 85 NA 50 56
NA 36 24 17 NA 9
1268 411 187 262 NA NA
95 NA 39 28 16 7
149 NA 37 NA 15 NA
197 99 NA 8 28 36
441 151 NA 55 48 49
NA 254 185 46 26 51
223 NA 78 60 NA NA
NA 104 50 NA 26 15
NA 83 NA 25 15 29
NA 186 101 56 54 NA
102 120 44 21 NA NA
493 172 162 NA 44 37
67 77 35 NA 31 NA
NA 162 158 109 55 64
100 111 NA 15 NA 16
138 109 34 29 14 27
NA 191 NA 38 NA 15
152 67 NA 31 NA NA
NA 56 18 11 30 8
121 NA 34 20 NA 9
NA NA 160 NA 75 NA
199 125 68 NA 16 NA
594 NA 151 67 NA 37
969 238 NA NA NA 66
NA NA 48 34 NA 12
NA 69 33 29 15 11
249 NA 45 NA 31 NA
385 NA 97 94 75 37
150 NA NA 29 NA 18
NA 371 101 NA 82 71
310 NA 37 19 16 16
NA 24 8 NA 8 NA
NA 134 169 NA 17 19
174 110 63 NA 20 17
309 NA 175 70 58 NA
95 57 40 NA 17 NA
225 186 45 40 NA 21
762 223 NA NA 58 NA
155 38 44 22 23 NA
302 100 NA NA 25 NA
NA 70 56 46 NA NA
581 NA 166 102 NA 26
331 NA NA NA 21 NA
608 635 NA 109 67 58
NA NA 63 46 NA 17
NA 197 151 50 NA 26
NA NA NA 33 29 34
1661 705 333 NA 221 205
87 NA 22 NA NA 32
NA NA 55 24 NA 35
388 196 NA 96 94 61
1351 NA 405 225 NA 122
181 86 NA NA NA NA
NA NA 62 NA NA NA
89 NA 41 13 19 6
NA NA 76 47 NA 29
NA NA NA NA 13 NA
170 133 49 68 39 NA
76 NA 28 12 11 9
921 NA 62 49 NA 42
463 254 NA 97 NA 47
478 93 NA 38 23 20
NA 402 NA NA 26 20
159 100 48 31 14 12
121 60 NA 41 13 7
