Column1,Column2,Column3,Column4,Column5,Column6
386.0,249.0,108.0,66.0,67.0,59.0
281.0,229.0,39.0,38.0,0.0,18.0
0.0,115.0,0.0,0.0,0.0,28.0
122.0,0.0,105.0,21.0,34.0,32.0
868.0,482.0,370.0,0.0,98.0,72.0
0.0,77.0,50.0,14.0,0.0,5.0
241.0,140.0,0.0,61.0,15.0,0.0
0.0,78.0,41.0,23.0,0.0,0.0
149.0,127.0,30.0,24.0,0.0,12.0
370.0,0.0,110.0,38.0,0.0,47.0
76.0,89.0,15.0,15.0,21.0,0.0
0.0,279.0,219.0,204.0,96.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,308.0,0.0,37.0,0.0,26.0
0.0,33.0,35.0,0.0,5.0,11.0
88.0,0.0,8.0,8.0,10.0,9.0
219.0,0.0,40.0,23.0,17.0,15.0
334.0,155.0,54.0,30.0,34.0,0.0
132.0,0.0,0.0,0.0,0.0,0.0
332.0,0.0,88.0,64.0,38.0,72.0
156.0,0.0,75.0,66.0,37.0,22.0
153.0,94.0,77.0,28.0,20.0,23.0
1547.0,1576.0,569.0,285.0,249.0,175.0
90.0,33.0,28.0,24.0,0.0,14.0
82.0,0.0,18.0,12.0,19.0,0.0
25.0,8.0,12.0,0.0,2.0,0.0
142.0,47.0,0.0,24.0,14.0,0.0
1290.0,0.0,173.0,93.0,63.0,58.0
0.0,153.0,31.0,13.0,16.0,0.0
92.0,0.0,13.0,11.0,16.0,6.0
0.0,182.0,96.0,61.0,30.0,36.0
228.0,52.0,43.0,33.0,46.0,0.0
707.0,454.0,0.0,100.0,0.0,46.0
0.0,0.0,59.0,0.0,31.0,0.0
148.0,36.0,0.0,18.0,0.0,5.0
110.0,0.0,0.0,34.0,9.0,13.0
0.0,0.0,59.0,0.0,93.0,0.0
1103.0,0.0,388.0,142.0,134.0,175.0
148.0,0.0,0.0,37.0,37.0,11.0
83.0,0.0,26.0,12.0,11.0,5.0
520.0,210.0,72.0,19.0,32.0,14.0
145.0,0.0,37.0,0.0,13.0,0.0
243.0,117.0,80.0,57.0,21.0,21.0
94.0,88.0,0.0,14.0,12.0,19.0
468.0,0.0,104.0,0.0,0.0,49.0
115.0,0.0,44.0,55.0,27.0,13.0
148.0,0.0,28.0,0.0,24.0,14.0
425.0,251.0,68.0,73.0,63.0,37.0
226.0,81.0,107.0,0.0,25.0,18.0
0.0,0.0,142.0,0.0,0.0,26.0
243.0,128.0,0.0,0.0,37.0,0.0
0.0,0.0,18.0,17.0,0.0,4.0
112.0,50.0,0.0,29.0,0.0,7.0
352.0,0.0,76.0,0.0,0.0,29.0
78.0,30.0,17.0,10.0,11.0,5.0
201.0,132.0,91.0,63.0,0.0,0.0
385.0,264.0,51.0,0.0,35.0,0.0
0.0,279.0,131.0,75.0,0.0,36.0
680.0,0.0,142.0,37.0,43.0,24.0
0.0,0.0,65.0,0.0,29.0,42.0
0.0,0.0,31.0,31.0,0.0,0.0
0.0,0.0,106.0,45.0,46.0,33.0
515.0,283.0,85.0,50.0,66.0,56.0
222.0,127.0,23.0,41.0,30.0,0.0
108.0,0.0,11.0,0.0,5.0,2.0
0.0,79.0,32.0,0.0,14.0,0.0
1298.0,244.0,245.0,108.0,131.0,0.0
415.0,0.0,0.0,39.0,39.0,20.0
0.0,0.0,0.0,19.0,15.0,0.0
926.0,258.0,149.0,150.0,148.0,110.0
0.0,157.0,83.0,48.0,0.0,0.0
239.0,0.0,62.0,0.0,18.0,28.0
259.0,132.0,0.0,50.0,22.0,0.0
183.0,59.0,95.0,0.0,23.0,0.0
251.0,0.0,0.0,0.0,0.0,20.0
624.0,0.0,147.0,0.0,133.0,80.0
505.0,226.0,142.0,60.0,48.0,82.0
0.0,0.0,125.0,45.0,32.0,41.0
42.0,27.0,28.0,8.0,0.0,8.0
244.0,83.0,34.0,25.0,21.0,0.0
132.0,64.0,0.0,18.0,20.0,14.0
0.0,167.0,0.0,18.0,20.0,19.0
455.0,0.0,93.0,80.0,0.0,47.0
40.0,0.0,20.0,8.0,5.0,6.0
0.0,250.0,45.0,0.0,17.0,45.0
0.0,98.0,39.0,0.0,0.0,22.0
0.0,97.0,0.0,0.0,12.0,10.0
611.0,0.0,85.0,53.0,0.0,31.0
118.0,316.0,0.0,24.0,44.0,22.0
1029.0,0.0,0.0,211.0,0.0,75.0
674.0,235.0,0.0,71.0,0.0,0.0
436.0,318.0,58.0,39.0,52.0,25.0
0.0,29.0,0.0,7.0,0.0,5.0
90.0,26.0,17.0,12.0,0.0,0.0
954.0,436.0,96.0,83.0,73.0,57.0
458.0,0.0,187.0,0.0,25.0,19.0
301.0,267.0,100.0,0.0,103.0,30.0
567.0,227.0,85.0,0.0,50.0,56.0
0.0,36.0,24.0,17.0,0.0,9.0
1268.0,411.0,187.0,262.0,0.0,0.0
95.0,0.0,39.0,28.0,16.0,7.0
149.0,0.0,37.0,0.0,15.0,0.0
197.0,99.0,0.0,8.0,28.0,36.0
441.0,151.0,0.0,55.0,48.0,49.0
0.0,254.0,185.0,46.0,26.0,51.0
223.0,0.0,78.0,60.0,0.0,0.0
0.0,104.0,50.0,0.0,26.0,15.0
0.0,83.0,0.0,25.0,15.0,29.0
0.0,186.0,101.0,56.0,54.0,0.0
102.0,120.0,44.0,21.0,0.0,0.0
493.0,172.0,162.0,0.0,44.0,37.0
67.0,77.0,35.0,0.0,31.0,0.0
0.0,162.0,158.0,109.0,55.0,64.0
100.0,111.0,0.0,15.0,0.0,16.0
138.0,109.0,34.0,29.0,14.0,27.0
0.0,191.0,0.0,38.0,0.0,15.0
152.0,67.0,0.0,31.0,0.0,0.0
0.0,56.0,18.0,11.0,30.0,8.0
121.0,0.0,34.0,20.0,0.0,9.0
0.0,0.0,160.0,0.0,75.0,0.0
199.0,125.0,68.0,0.0,16.0,0.0
594.0,0.0,151.0,67.0,0.0,37.0
969.0,238.0,0.0,0.0,0.0,66.0
0.0,0.0,48.0,34.0,0.0,12.0
0.0,69.0,33.0,29.0,15.0,11.0
249.0,0.0,45.0,0.0,31.0,0.0
385.0,0.0,97.0,94.0,75.0,37.0
150.0,0.0,0.0,29.0,0.0,18.0
0.0,371.0,101.0,0.0,82.0,71.0
310.0,0.0,37.0,19.0,16.0,16.0
0.0,24.0,8.0,0.0,8.0,0.0
0.0,134.0,169.0,0.0,17.0,19.0
174.0,110.0,63.0,0.0,20.0,17.0
309.0,0.0,175.0,70.0,58.0,0.0
95.0,57.0,40.0,0.0,17.0,0.0
225.0,186.0,45.0,40.0,0.0,21.0
762.0,223.0,0.0,0.0,58.0,0.0
155.0,38.0,44.0,22.0,23.0,0.0
302.0,100.0,0.0,0.0,25.0,0.0
0.0,70.0,56.0,46.0,0.0,0.0
581.0,0.0,166.0,102.0,0.0,26.0
331.0,0.0,0.0,0.0,21.0,0.0
608.0,635.0,0.0,109.0,67.0,58.0
0.0,0.0,63.0,46.0,0.0,17.0
0.0,197.0,151.0,50.0,0.0,26.0
0.0,0.0,0.0,33.0,29.0,34.0
1661.0,705.0,333.0,0.0,221.0,205.0
87.0,0.0,22.0,0.0,0.0,32.0
0.0,0.0,55.0,24.0,0.0,35.0
388.0,196.0,0.0,96.0,94.0,61.0
1351.0,0.0,405.0,225.0,0.0,122.0
181.0,86.0,0.0,0.0,0.0,0.0
0.0,0.0,62.0,0.0,0.0,0.0
89.0,0.0,41.0,13.0,19.0,6.0
0.0,0.0,76.0,47.0,0.0,29.0
0.0,0.0,0.0,0.0,13.0,0.0
170.0,133.0,49.0,68.0,39.0,0.0
76.0,0.0,28.0,12.0,11.0,9.0
921.0,0.0,62.0,49.0,0.0,42.0
463.0,254.0,0.0,97.0,0.0,47.0
478.0,93.0,0.0,38.0,23.0,20.0
0.0,402.0,0.0,0.0,26.0,20.0
159.0,100.0,48.0,31.0,14.0,12.0
121.0,60.0,0.0,41.0,13.0,7.0
